U_ID,MOD_ID,GLAC_ID,MOD_H,GLAC_H,DEBRIS,FRAC_GLAC
625,66381,17,5650.68,5589.67,0,0.36
626,66591,68,5291.28,5292.5,0,0.72
627,66592,68,5235.88,5224.25,0,0.16
628,66593,67,5175.12,5171.21,0,0.56
629,66594,67,5176.76,5143,0,0.08
630,66596,65,5353.08,5316.5,0,0.08
631,66597,65,5237.84,5272,0,0.48
632,66598,64,5199.4,5163,0,0.28
633,66599,64,5329.04,5193.5,0,0.08
634,66600,63,5478.84,5498.5,0,0.24
635,66601,63,5444.24,5444.24,0,1
636,66602,63,5359.72,5359.55,0,0.88
637,66603,63,5253.56,5292,0,0.12
638,66614,27,5226.48,5243,0,0.76
639,66615,27,5240.56,5242.04,0,0.96
640,66616,27,5206,5205.58,0,0.96
641,66617,27,5273.52,5167.25,0,0.16
642,66635,77,5325.16,5311.78,0,0.36
643,66636,77,5327.32,5327.32,0,1
644,66637,77,5360.08,5339.93,0,0.6
645,66639,12,5891.92,6052.2,0,0.2
646,66640,12,6063.2,6073.38,0,0.64
647,66640,13,6063.2,6045.11,0,0.36
648,66641,13,5917.08,5919.63,0,0.96
649,66642,13,5714.52,5725.56,0,0.64
650,66643,13,5580.8,5580.08,0,0.52
651,66647,17,5446.48,5442.05,0,0.76
652,66648,17,5425.6,5425.6,0,1
653,66649,17,5447.28,5447.28,0,1
654,66650,17,5479.84,5479.84,0,1
655,66651,17,5513,5513,0,1
656,66652,17,5605.72,5552.85,0,0.52
657,66852,60,5147.96,5255,0,0.04
658,66853,60,5284.92,5312.3,0,0.4
659,66864,67,5250.84,5233.29,0,0.28
660,66865,66,5246.92,5230.25,0,0.16
661,66865,67,5246.92,5222.25,0,0.16
662,66866,66,5293.76,5265.33,0,0.72
663,66868,64,5140.8,5103,0,0.16
664,66869,64,5109.56,5109.56,0,1
665,66870,64,5175.28,5136.4,0,0.4
666,66872,63,5518,5468,0,0.16
667,66873,63,5397.8,5412,0,0.04
668,66885,27,5048.2,5147,0,0.08
669,66886,27,5127.2,5145.5,0,0.64
670,66887,27,5132.96,5132.96,0,1
671,66888,27,5152.8,5116.17,0,0.48
672,66906,77,5386.8,5387.27,0,0.88
673,66907,77,5361.88,5361.88,0,1
674,66908,77,5413.92,5370.8,0,0.4
675,66911,12,5986.64,5981.95,0,0.84
676,66912,12,5902,5922.06,0,0.72
677,66913,12,5733.76,5845,0,0.04
678,66913,13,5733.76,5711.25,0,0.48
679,66914,13,5612.72,5608.09,0,0.92
680,66915,13,5552.8,5558.57,0,0.56
681,66918,17,5432.44,5405.18,0,0.44
682,66919,17,5378.08,5378.08,0,1
683,66920,17,5453.16,5453.16,0,1
684,66921,17,5491.72,5491.72,0,1
685,66922,17,5507.16,5507.16,0,1
686,66923,17,5608.72,5539.5,0,0.32
687,67122,59,5128.96,5200.33,0,0.12
688,67123,59,5195.2,5211,0,0.08
689,67123,60,5195.2,5209.14,0,0.28
690,67124,60,5221.56,5306,0,0.16
691,67136,66,5164.4,5168.38,0,0.84
692,67137,66,5150.84,5150.84,0,1
693,67138,66,5201.56,5163.29,0,0.28
694,67139,64,5110.76,5089,0,0.16
695,67140,64,5078.52,5078.52,0,1
696,67141,64,5104.52,5082.67,0,0.36
697,67157,27,5026.64,5060,0,0.12
698,67158,27,5035.08,5036.27,0,0.88
699,67159,27,5103.84,5051,0,0.32
700,67176,77,5481.32,5440,0,0.16
701,67177,77,5431.4,5431.4,0,1
702,67178,77,5401.8,5401.8,0,1
703,67179,77,5516.12,5445,0,0.12
704,67182,12,5922.56,5919.95,0,0.88
705,67183,12,5876.72,5876.72,0,1
706,67184,12,5779.64,5828,0,0.56
707,67185,12,5665.4,5671.5,0,0.16
708,67186,13,5557.6,5553.5,0,0.16
709,67187,12,5485.32,5475,0,0.36
710,67188,12,5479.2,5474.2,0,0.4
711,67189,12,5420.56,5456,0,0.16
712,67189,17,5420.56,5356.8,0,0.2
713,67190,17,5360.56,5360.56,0,1
714,67191,17,5476.56,5476.56,0,1
715,67192,17,5492.08,5492.08,0,1
716,67193,17,5503.56,5503.56,0,1
717,67392,59,5150.56,5154.38,0,0.52
718,67393,59,5185.88,5185.88,0,1
719,67394,59,5191,5197.92,0,0.48
720,67407,66,5048.88,5055,0,0.04
721,67408,66,5033.16,5059.79,0,0.56
722,67409,66,5063.44,5087,0,0.2
723,67410,64,4998.36,4970,0,0.16
724,67411,64,4998.52,4999.17,0,0.96
725,67412,64,5040.28,5036.5,0,0.08
726,67429,27,4975.28,4979,0,0.56
727,67430,27,5059,5014,0,0.04
728,67446,77,5557.8,5557.8,0,1
729,67447,77,5478,5478,0,1
730,67448,77,5458.12,5458.12,0,1
731,67449,77,5444.16,5441.82,0,0.88
732,67452,12,5996.16,5981.21,0,0.56
733,67453,12,5907.88,5907.88,0,1
